"Service","Cabin_Effect","Distance_Effect","Interaction_Effect","Cabin_p","Distance_p","Interaction_p"
"Seat comfort",3007.0147940186,144.077251287607,61.3264916269537,0,3.27082166052438e-63,7.69947111510595e-52
"Inflight entertainment",2154.35586787979,87.2227155259903,47.2466298556427,0,1.41717013038428e-38,9.51852206008215e-40
"Online boarding",6420.89232164001,222.515524906345,34.1044197343726,0,3.70781137014106e-97,1.72309076203665e-28
"Cleanliness",1033.23842273556,44.9099467595214,24.8641390864406,0,3.19362558894245e-20,1.31357968968516e-20
"Cleanliness",1033.23842273556,44.9099467595214,24.8641390864406,0,3.19362558894245e-20,1.31357968968516e-20
"Food and drink",400.207761532249,19.7794271802963,23.8746108229043,7.21230684580066e-174,2.57951988059634e-09,9.11755085149213e-20
"Leg room service",2484.41806948746,60.6818657008882,9.02190242456254,0,4.58755241778958e-27,2.78385484748055e-07
"Departure Arrival time convenient",493.238136044051,53.8244589578768,8.80657780891605,6.30906953394301e-214,4.3294852085264e-24,4.18485948410784e-07
"Inflight service",1489.98132183749,17.9005603219064,6.03654007837187,0,1.68742531635247e-08,7.47518299589065e-05
"Inflight wifi service",72.0918751484711,2.64153832637199,4.63153474458732,5.159427096696e-32,0.071256362374592,0.000974240201869805
"Ease of Online booking",612.297044731694,15.6985941333182,2.86589848069544,4.34237963327784e-265,1.52481502319745e-07,0.021824270725915
"Baggage handling",1584.86240395293,24.2800568268412,2.28596850282767,0,2.86925275022529e-11,0.0576096443304694
"On board service",2670.94799623795,5.10142482897191,1.04254940569968,0,0.0060895910136208,0.383467500207958
"Checkin service",1432.56802920608,6.63868294472184,0.802634292332775,0,0.00130930504533102,0.523233710749891
"Gate location",1.10222799146891,1.5601683114378,0.484228338055431,0.332134159093434,0.210105628219034,0.747360959651471
